id,name,phone_number,email,city,state,qualifications,diploma_score,experience_years,skills,category,gender,training_result,placement_status,preferred_salary_min,preferred_salary_max,availability_status
32,Cherukula Hemanth Reddy,+91-9201167466,cherukula.hemanth.reddy@gmail.com,Vijayawada,ANDHRA PRADESH,Suryamitra Solar Technician Certification,90.92,0,"[""Solar Panel Installation"", ""Solar System Maintenance"", ""Electrical Wiring"", ""Power System Analysis""]",Gen,Male,Pass,Unknown,19734,36120,available
33,Annapurna Bhowmick,+91-8270611639,annapurna.bhowmick@gmail.com,Kolkata,WEST BENGAL,Suryamitra Solar Technician Certification,92.77,0,"[""Solar Panel Installation"", ""Solar System Maintenance"", ""Electrical Wiring"", ""Power System Analysis"", ""Safety Protocols"", ""Technical Documentation"", ""Customer Service""]",Gen,Female,Pass,Unknown,15190,29002,available
34,Abhijit Hansda,+91-7812148303,abhijit.hansda@gmail.com,Kolkata,WEST BENGAL,Suryamitra Solar Technician Certification,80.83,0,"[""Solar Panel Installation"", ""Solar System Maintenance"", ""Electrical Wiring"", ""Power System Analysis"", ""Safety Protocols""]",SC,Male,Pass,Unknown,18035,35096,available
35,Arkadeep Das,+91-7944749826,arkadeep.das@gmail.com,Kolkata,WEST BENGAL,Suryamitra Solar Technician Certification,89.61,0,"[""Solar Panel Installation"", ""Solar System Maintenance"", ""Electrical Wiring"", ""Power System Analysis"", ""Safety Protocols"", ""Project Management""]",SC,Male,Pass,Unknown,21054,29722,available
36,Arpan Jana,+91-9298788976,arpan.jana@gmail.com,Kolkata,WEST BENGAL,Suryamitra Solar Technician Certification,85.64,0,"[""Solar Panel Installation"", ""Solar System Maintenance"", ""Electrical Wiring"", ""Power System Analysis"", ""Safety Protocols""]",Gen,Male,Pass,Unknown,24428,27713,available
37,Avishek Sharma,+91-9024931532,avishek.sharma@gmail.com,Kolkata,WEST BENGAL,Suryamitra Solar Technician Certification,94.64,0,"[""Solar Panel Installation"", ""Solar System Maintenance"", ""Electrical Wiring"", ""Power System Analysis"", ""Safety Protocols""]",Gen,Male,Pass,Unknown,20374,35715,available
38,Debabrota Adhikary,+91-8993595956,debabrota.adhikary@gmail.com,Kolkata,WEST BENGAL,Suryamitra Solar Technician Certification,77.83,0,"[""Solar Panel Installation"", ""Solar System Maintenance"", ""Electrical Wiring"", ""Power System Analysis"", ""Safety Protocols"", ""Technical Documentation""]",Gen,Male,Pass,Unknown,22928,26155,available
39,Debanna Datta,+91-9327478224,debanna.datta@gmail.com,Kolkata,WEST BENGAL,Suryamitra Solar Technician Certification,75.18,0,"[""Solar Panel Installation"", ""Solar System Maintenance"", ""Electrical Wiring"", ""Power System Analysis"", ""Troubleshooting""]",Gen,Female,Pass,Unknown,21467,36725,available
40,Monisha Saha,+91-8121919838,monisha.saha@gmail.com,Kolkata,WEST BENGAL,Suryamitra Solar Technician Certification,85.52,0,"[""Solar Panel Installation"", ""Solar System Maintenance"", ""Electrical Wiring"", ""Power System Analysis"", ""Safety Protocols""]",Gen,Female,Pass,Unknown,16649,33951,available
41,Nandini Mondal,+91-9793049290,nandini.mondal@gmail.com,Kolkata,WEST BENGAL,Suryamitra Solar Technician Certification,77.66,0,"[""Solar Panel Installation"", ""Solar System Maintenance"", ""Electrical Wiring"", ""Power System Analysis"", ""Safety Protocols"", ""Technical Documentation""]",Gen,Female,Pass,Unknown,23146,31732,available
42,Deepak Kumar,+91-8178660287,deepak.kumar@gmail.com,Lucknow,UTTAR PRADESH,Suryamitra Solar Technician Certification,80.07,0,"[""Solar Panel Installation"", ""Solar System Maintenance"", ""Electrical Wiring"", ""Power System Analysis"", ""Safety Protocols"", ""Quality Control""]",OBC,Male,Pass,Unknown,19415,37620,available
43,Nitin Sharma,+91-8051442218,nitin.sharma@gmail.com,Lucknow,UTTAR PRADESH,Suryamitra Solar Technician Certification,81.38,0,"[""Solar Panel Installation"", ""Solar System Maintenance"", ""Electrical Wiring"", ""Power System Analysis"", ""Safety Protocols"", ""Technical Documentation""]",Gen,Male,Pass,Unknown,22137,28138,available
44,Saurabh Purohit,+91-8757384279,saurabh.purohit@gmail.com,Lucknow,UTTAR PRADESH,Suryamitra Solar Technician Certification,90.44,0,"[""Solar Panel Installation"", ""Solar System Maintenance"", ""Electrical Wiring"", ""Power System Analysis"", ""Safety Protocols""]",Gen,Male,Pass,Unknown,21437,29148,available
45,Virendra Kumar,+91-9111189151,virendra.kumar@gmail.com,Lucknow,UTTAR PRADESH,Suryamitra Solar Technician Certification,83.34,0,"[""Solar Panel Installation"", ""Solar System Maintenance"", ""Electrical Wiring"", ""Power System Analysis"", ""Quality Control"", ""Customer Service""]",SC,Male,Pass,Unknown,24971,27078,available
46,Romesh Yadav,+91-7570647999,romesh.yadav@gmail.com,Lucknow,UTTAR PRADESH,Suryamitra Solar Technician Certification,78.84,0,"[""Solar Panel Installation"", ""Solar System Maintenance"", ""Electrical Wiring"", ""Power System Analysis"", ""Safety Protocols"", ""Technical Documentation""]",OBC,Male,Pass,Unknown,15866,37081,available
47,Vimlesh Kumar,+91-7449456341,vimlesh.kumar@gmail.com,Lucknow,UTTAR PRADESH,Suryamitra Solar Technician Certification,75.04,0,"[""Solar Panel Installation"", ""Solar System Maintenance"", ""Electrical Wiring"", ""Power System Analysis""]",OBC,Male,Pass,Unknown,23635,38176,available
